
Cycle,Step,Voltage_V,Current_A,Capacity_Ah,Temperature_C,Time_s,Internal_Resistance_mOhm,Energy_Wh
1,1,3.200,0.500,0.000,25.2,0,15.2,0.000
1,2,3.245,0.500,0.025,25.4,180,15.3,0.081
1,3,3.289,0.500,0.050,25.6,360,15.4,0.164
1,4,3.332,0.500,0.075,25.8,540,15.5,0.250
1,5,3.374,0.500,0.100,26.0,720,15.6,0.337
1,6,3.415,0.500,0.125,26.2,900,15.7,0.427
1,7,3.455,0.500,0.150,26.4,1080,15.8,0.518
1,8,3.494,0.500,0.175,26.6,1260,15.9,0.611
1,9,3.532,0.500,0.200,26.8,1440,16.0,0.706
1,10,3.569,0.500,0.225,27.0,1620,16.1,0.803
1,11,3.605,0.500,0.250,27.2,1800,16.2,0.901
1,12,3.640,0.500,0.275,27.4,1980,16.3,1.001
1,13,3.674,0.500,0.300,27.6,2160,16.4,1.102
1,14,3.707,0.500,0.325,27.8,2340,16.5,1.205
1,15,3.739,0.500,0.350,28.0,2520,16.6,1.309
1,16,3.770,0.500,0.375,28.2,2700,16.7,1.414
1,17,3.800,0.500,0.400,28.4,2880,16.8,1.520
1,18,3.829,0.500,0.425,28.6,3060,16.9,1.627
1,19,3.857,0.500,0.450,28.8,3240,17.0,1.736
1,20,3.884,0.500,0.475,29.0,3420,17.1,1.845
1,21,3.910,0.500,0.500,29.2,3600,17.2,1.955
1,22,3.935,0.450,0.518,29.4,3780,17.3,2.037
1,23,3.959,0.400,0.532,29.6,3960,17.4,2.105
1,24,3.982,0.350,0.544,29.8,4140,17.5,2.165
1,25,4.004,0.300,0.554,30.0,4320,17.6,2.218
1,26,4.025,0.250,0.562,30.2,4500,17.7,2.263
1,27,4.045,0.200,0.568,30.4,4680,17.8,2.300
1,28,4.064,0.150,0.572,30.6,4860,17.9,2.329
1,29,4.082,0.100,0.575,30.8,5040,18.0,2.350
1,30,4.099,0.050,0.577,31.0,5220,18.1,2.363
1,31,4.115,0.000,0.578,31.2,5400,18.2,2.368
1,32,4.110,0.000,0.578,31.0,5460,18.2,2.368
1,33,4.105,0.000,0.578,30.8,5520,18.2,2.368
1,34,4.100,0.000,0.578,30.6,5580,18.2,2.368
1,35,4.095,0.000,0.578,30.4,5640,18.2,2.368
1,36,4.090,-0.500,0.553,30.2,5820,18.3,2.260
